image_name,original_sample,LABEL
biden-to-linus_0,biden-to-linus,FAKE
biden-to-linus_1,biden-to-linus,FAKE
biden-to-linus_2,biden-to-linus,FAKE
biden-to-linus_3,biden-to-linus,FAKE
biden-to-linus_4,biden-to-linus,FAKE
biden-to-linus_5,biden-to-linus,FAKE
biden-to-linus_6,biden-to-linus,FAKE
biden-to-linus_7,biden-to-linus,FAKE
biden-to-linus_8,biden-to-linus,FAKE
biden-to-linus_9,biden-to-linus,FAKE
biden-to-linus_10,biden-to-linus,FAKE
biden-to-linus_11,biden-to-linus,FAKE
biden-to-linus_12,biden-to-linus,FAKE
biden-to-linus_13,biden-to-linus,FAKE
biden-to-linus_14,biden-to-linus,FAKE
biden-to-linus_15,biden-to-linus,FAKE
biden-to-linus_16,biden-to-linus,FAKE
biden-to-linus_17,biden-to-linus,FAKE
biden-to-linus_18,biden-to-linus,FAKE
biden-to-linus_19,biden-to-linus,FAKE
biden-to-linus_20,biden-to-linus,FAKE
biden-to-linus_21,biden-to-linus,FAKE
biden-to-linus_22,biden-to-linus,FAKE
biden-to-linus_23,biden-to-linus,FAKE
biden-to-linus_24,biden-to-linus,FAKE
biden-to-linus_25,biden-to-linus,FAKE
biden-to-linus_26,biden-to-linus,FAKE
biden-to-linus_27,biden-to-linus,FAKE
biden-to-linus_28,biden-to-linus,FAKE
biden-to-linus_29,biden-to-linus,FAKE
biden-to-linus_30,biden-to-linus,FAKE
biden-to-linus_31,biden-to-linus,FAKE
biden-to-linus_32,biden-to-linus,FAKE
biden-to-linus_33,biden-to-linus,FAKE
biden-to-linus_34,biden-to-linus,FAKE
biden-to-linus_35,biden-to-linus,FAKE
biden-to-linus_36,biden-to-linus,FAKE
biden-to-linus_37,biden-to-linus,FAKE
biden-to-linus_38,biden-to-linus,FAKE
biden-to-linus_39,biden-to-linus,FAKE
biden-to-linus_40,biden-to-linus,FAKE
biden-to-linus_41,biden-to-linus,FAKE
biden-to-linus_42,biden-to-linus,FAKE
biden-to-linus_43,biden-to-linus,FAKE
biden-to-linus_44,biden-to-linus,FAKE
biden-to-linus_45,biden-to-linus,FAKE
biden-to-linus_46,biden-to-linus,FAKE
biden-to-linus_47,biden-to-linus,FAKE
biden-to-linus_48,biden-to-linus,FAKE
biden-to-linus_49,biden-to-linus,FAKE
biden-to-linus_50,biden-to-linus,FAKE
biden-to-linus_51,biden-to-linus,FAKE
biden-to-linus_52,biden-to-linus,FAKE
biden-to-linus_53,biden-to-linus,FAKE
biden-to-linus_54,biden-to-linus,FAKE
biden-to-linus_55,biden-to-linus,FAKE
biden-to-linus_56,biden-to-linus,FAKE
biden-to-linus_57,biden-to-linus,FAKE
biden-to-linus_58,biden-to-linus,FAKE
biden-to-linus_59,biden-to-linus,FAKE
biden-to-linus_60,biden-to-linus,FAKE
biden-to-linus_61,biden-to-linus,FAKE
biden-to-linus_62,biden-to-linus,FAKE
biden-to-linus_63,biden-to-linus,FAKE
biden-to-linus_64,biden-to-linus,FAKE
biden-to-linus_65,biden-to-linus,FAKE
biden-to-linus_66,biden-to-linus,FAKE
biden-to-linus_67,biden-to-linus,FAKE
biden-to-linus_68,biden-to-linus,FAKE
biden-to-linus_69,biden-to-linus,FAKE
biden-to-linus_70,biden-to-linus,FAKE
biden-to-linus_71,biden-to-linus,FAKE
biden-to-linus_72,biden-to-linus,FAKE
biden-to-linus_73,biden-to-linus,FAKE
biden-to-linus_74,biden-to-linus,FAKE
biden-to-linus_75,biden-to-linus,FAKE
biden-to-linus_76,biden-to-linus,FAKE
biden-to-linus_77,biden-to-linus,FAKE
biden-to-linus_78,biden-to-linus,FAKE
biden-to-linus_79,biden-to-linus,FAKE
biden-to-linus_80,biden-to-linus,FAKE
biden-to-linus_81,biden-to-linus,FAKE
biden-to-linus_82,biden-to-linus,FAKE
biden-to-linus_83,biden-to-linus,FAKE
biden-to-linus_84,biden-to-linus,FAKE
biden-to-linus_85,biden-to-linus,FAKE
biden-to-linus_86,biden-to-linus,FAKE
biden-to-linus_87,biden-to-linus,FAKE
biden-to-linus_88,biden-to-linus,FAKE
biden-to-linus_89,biden-to-linus,FAKE
biden-to-linus_90,biden-to-linus,FAKE
biden-to-linus_91,biden-to-linus,FAKE
biden-to-linus_92,biden-to-linus,FAKE
biden-to-linus_93,biden-to-linus,FAKE
biden-to-linus_94,biden-to-linus,FAKE
biden-to-linus_95,biden-to-linus,FAKE
biden-to-linus_96,biden-to-linus,FAKE
biden-to-linus_97,biden-to-linus,FAKE
biden-to-linus_98,biden-to-linus,FAKE
biden-to-linus_99,biden-to-linus,FAKE
biden-to-linus_100,biden-to-linus,FAKE
biden-to-linus_101,biden-to-linus,FAKE
biden-to-linus_102,biden-to-linus,FAKE
biden-to-linus_103,biden-to-linus,FAKE
biden-to-linus_104,biden-to-linus,FAKE
biden-to-linus_105,biden-to-linus,FAKE
biden-to-linus_106,biden-to-linus,FAKE
biden-to-linus_107,biden-to-linus,FAKE
biden-to-linus_108,biden-to-linus,FAKE
biden-to-linus_109,biden-to-linus,FAKE
biden-to-linus_110,biden-to-linus,FAKE
biden-to-linus_111,biden-to-linus,FAKE
biden-to-linus_112,biden-to-linus,FAKE
biden-to-linus_113,biden-to-linus,FAKE
biden-to-linus_114,biden-to-linus,FAKE
biden-to-linus_115,biden-to-linus,FAKE
biden-to-linus_116,biden-to-linus,FAKE
biden-to-linus_117,biden-to-linus,FAKE
biden-to-linus_118,biden-to-linus,FAKE
biden-to-linus_119,biden-to-linus,FAKE
biden-to-linus_120,biden-to-linus,FAKE
biden-to-linus_121,biden-to-linus,FAKE
biden-to-linus_122,biden-to-linus,FAKE
biden-to-linus_123,biden-to-linus,FAKE
biden-to-linus_124,biden-to-linus,FAKE
biden-to-linus_125,biden-to-linus,FAKE
biden-to-linus_126,biden-to-linus,FAKE
biden-to-linus_127,biden-to-linus,FAKE
biden-to-linus_128,biden-to-linus,FAKE
biden-to-linus_129,biden-to-linus,FAKE
biden-to-linus_130,biden-to-linus,FAKE
biden-to-linus_131,biden-to-linus,FAKE
biden-to-linus_132,biden-to-linus,FAKE
biden-to-linus_133,biden-to-linus,FAKE
biden-to-linus_134,biden-to-linus,FAKE
biden-to-linus_135,biden-to-linus,FAKE
biden-to-linus_136,biden-to-linus,FAKE
biden-to-linus_137,biden-to-linus,FAKE
biden-to-linus_138,biden-to-linus,FAKE
biden-to-linus_139,biden-to-linus,FAKE
biden-to-linus_140,biden-to-linus,FAKE
biden-to-linus_141,biden-to-linus,FAKE
biden-to-linus_142,biden-to-linus,FAKE
