chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,original_sample,LABEL
0.40638602,2.3304476e-06,1726.655699145512,1313.557842860099,2691.572473404255,0.1665974069148936,-1100.7067,24.24396,-4.094224,-11.856074,-6.1343365,-2.9001107,-2.863687,1.1223332,3.4385302,-0.7639984,-3.6580172,-1.41574,-0.6455838,-1.1325661,-2.796956,-3.261251,-0.8384254,0.040199094,-0.060215026,-1.3802274,biden-to-linus,FAKE
0.48861018,1.6304879e-06,1494.0885602150229,1153.5477126793035,2407.247340425532,0.13302547373670212,-1096.9489,24.468382,-14.611142,-24.319674,-11.012167,0.043472588,4.79355,7.794999,6.9810543,2.2164712,-1.2804747,-2.6696577,-4.8257613,-5.560062,-2.4933777,0.8189246,1.9479053,2.038474,0.9298511,-0.99806577,biden-to-linus,FAKE
0.36264452,3.4941813e-06,1782.1775178590278,1487.2707409786947,3031.000664893617,0.13356050531914893,-1091.5085,32.404736,6.4215503,0.28500953,-4.8697314,-10.147283,-8.085464,-2.613166,-3.800449,-6.9837966,-4.292664,-0.023595352,-2.6197932,-1.4995278,-1.3581103,-2.5472257,-2.780263,-4.007583,-1.9566398,-2.5542843,biden-to-linus,FAKE
0.5041087,1.4499665e-06,1674.2996404514888,1243.9496386022513,2822.6396276595747,0.15421376329787234,-1096.3325,22.426727,-19.766582,-29.948235,-15.747853,0.25647768,7.96879,7.2994084,4.9780307,3.8150592,2.5550423,-1.1387217,-6.615138,-6.136604,-0.36688673,2.285073,2.3717513,1.3849919,0.033304386,1.4615358,biden-to-linus,FAKE
0.35032788,2.722042e-06,1806.1686280375231,1466.9687185821183,3179.7706117021276,0.15131004820478725,-1098.4689,25.183228,2.3852327,-2.5288978,-1.7532251,-3.2426078,-4.3213444,-3.691564,-2.2720833,-1.4362385,-2.5645409,-2.5615892,-4.9276953,-4.25542,-3.0706527,-1.9450703,-1.6686617,-3.0409274,-2.2843409,-1.5152403,biden-to-linus,FAKE
0.35688186,2.445399e-06,1657.9134590109027,1419.382821842492,3000.3324468085107,0.13690055684840424,-1096.4077,27.613022,0.9899811,-2.0837603,-0.98824865,-6.01278,-7.027386,-2.529529,-0.22598252,-1.5917263,-2.8832119,-1.1781943,-1.6533194,-3.5895145,-3.5346975,-1.9473662,-1.554805,-3.4420617,-3.0878437,-1.5149382,biden-to-linus,FAKE
0.32709694,3.2124844e-06,1495.317608020694,1485.468355499773,2836.2699468085107,0.09869514627659574,-1092.3385,34.954884,7.473218,0.5563177,0.6318292,-4.8978634,-9.720122,-7.0266047,-3.499221,-4.044106,-5.439344,-4.482035,-3.1811948,-1.6759051,-2.3098998,-2.9354138,-2.0038028,-2.7200155,-2.5593925,-3.0644298,biden-to-linus,FAKE
0.33680546,1.5699515e-06,1541.4661259049087,1462.0727467687182,2909.990026595745,0.11795628324468085,-1116.1678,12.030935,1.6608688,0.6587974,-1.4672538,-2.9690423,-1.9550431,-0.7521136,-0.54592735,-1.9687245,-1.7834761,-1.5509521,-2.786447,-2.3439426,-1.1826074,-0.12922944,-0.03475373,-0.20961867,0.02856977,-1.8346742,biden-to-linus,FAKE
0.2729235,2.8479024e-06,1522.2456474251205,1422.3895117326583,2714.0126329787236,0.12386240857712766,-1100.4874,25.42536,2.6594043,-0.7010855,-2.1370325,-6.0577536,-6.9617286,-3.7887287,-1.682057,-4.326332,-4.3438816,-2.342102,-2.7213001,-3.054319,-2.2488008,-0.5707816,-1.2183423,-2.632368,-1.7640613,-2.8623335,biden-to-linus,FAKE
0.33471155,1.956464e-06,1349.1136012541028,1273.3332968287073,2208.8597074468084,0.1082062416888298,-1106.6189,22.156435,1.2826428,-9.962701,-9.033428,-3.8378546,-0.073881045,0.7475388,0.15308055,-0.30375415,-1.2557656,-2.2715492,-3.8434258,-3.026427,-1.3807185,-0.42651433,-1.487101,-2.379441,-0.50425446,0.94963205,biden-to-linus,FAKE
0.34492016,2.9346152e-06,1852.734636354295,1513.2819550219874,3258.228058510638,0.1512944647606383,-1094.8303,30.054356,8.657493,-4.2128944,-4.47092,-5.258332,-4.8997602,-2.4615433,-1.9450558,-1.9082651,-3.9854312,-1.1663178,-3.212535,-3.0043273,-3.0227392,-2.2053978,-1.1728796,-1.9458824,-1.5906088,-1.7142029,biden-to-linus,FAKE
